iter	Passed	Remaining
0	35	157885
1	68	154009
2	101	151573
3	134	150318
4	168	150522
5	201	149762
6	233	148683
7	265	148354
8	299	148630
9	330	147608
10	343	139126
11	354	131642
12	365	125295
13	376	119841
14	387	115160
15	399	111151
16	410	107640
17	422	104424
18	433	101481
19	444	98803
20	455	96515
21	467	94428
22	478	92434
23	488	90565
24	500	88982
25	511	87451
26	523	86086
27	533	84653
28	543	83272
29	554	81995
30	564	80857
31	574	79734
32	585	78670
33	595	77689
34	605	76729
35	615	75857
36	626	75056
37	637	74305
38	647	73539
39	657	72827
40	667	72120
41	677	71477
42	687	70823
43	697	70203
44	709	69782
45	722	69452
46	734	69138
47	746	68729
48	756	68233
49	766	67764
50	776	67303
51	787	66872
52	797	66456
53	807	66075
54	818	65676
55	828	65277
56	838	64904
57	849	64616
58	860	64339
59	870	64013
60	881	63715
61	891	63379
62	901	63078
63	912	62791
64	922	62515
65	932	62241
66	943	62026
67	954	61760
68	966	61626
69	977	61443
70	987	61212
71	998	60987
72	1009	60775
73	1019	60565
74	1029	60350
75	1040	60153
76	1051	59975
77	1062	59802
78	1072	59637
79	1084	59501
80	1096	59423
81	1109	59349
82	1120	59222
83	1130	59043
84	1140	58853
85	1151	58678
86	1161	58503
87	1171	58338
88	1182	58218
89	1193	58096
90	1204	57942
91	1214	57807
92	1224	57647
93	1235	57495
94	1245	57351
95	1255	57208
96	1266	57075
97	1276	56949
98	1286	56806
99	1296	56676
100	1308	56605
101	1319	56501
102	1329	56363
103	1339	56244
104	1350	56126
105	1360	56012
106	1370	55896
107	1380	55772
108	1391	55671
109	1401	55552
110	1411	55440
111	1423	55399
112	1434	55317
113	1445	55216
114	1455	55118
115	1465	55011
116	1476	54931
117	1488	54881
118	1498	54798
119	1509	54712
120	1519	54626
121	1530	54540
122	1541	54472
123	1551	54394
124	1563	54340
125	1573	54255
126	1584	54183
127	1595	54125
128	1606	54069
129	1617	54009
130	1628	53944
131	1640	53909
132	1651	53859
133	1662	53805
134	1674	53758
135	1687	53763
136	1698	53719
137	1708	53642
138	1719	53562
139	1729	53503
140	1740	53429
141	1750	53346
142	1760	53269
143	1770	53200
144	1781	53124
145	1791	53054
146	1802	52997
147	1812	52938
148	1822	52865
149	1833	52792
150	1843	52733
151	1855	52697
152	1865	52628
153	1875	52568
154	1886	52521
155	1896	52458
156	1907	52392
157	1918	52367
158	1930	52328
159	1939	52256
160	1950	52213
161	1961	52157
162	1971	52103
163	1982	52055
164	1993	52007
165	2004	51960
166	2014	51907
167	2025	51864
168	2036	51822
169	2046	51762
170	2057	51720
171	2068	51681
172	2079	51645
173	2090	51612
174	2101	51572
175	2113	51557
176	2123	51511
177	2134	51462
178	2144	51419
179	2154	51360
180	2165	51303
181	2175	51251
182	2185	51200
183	2195	51143
184	2205	51091
185	2216	51054
186	2227	51015
187	2237	50968
188	2248	50925
189	2258	50876
190	2268	50821
191	2278	50777
192	2289	50730
193	2299	50679
194	2309	50632
195	2319	50583
196	2330	50549
197	2341	50512
198	2351	50469
199	2362	50436
200	2373	50407
201	2383	50357
202	2393	50313
203	2403	50267
204	2413	50217
205	2424	50178
206	2434	50136
207	2445	50105
208	2455	50063
209	2466	50031
210	2477	50001
211	2487	49965
212	2498	49935
213	2509	49904
214	2519	49862
215	2530	49831
216	2541	49802
217	2553	49801
218	2565	49795
219	2577	49791
220	2588	49775
221	2599	49747
222	2610	49712
223	2620	49673
224	2630	49634
225	2640	49591
226	2651	49559
227	2661	49526
228	2672	49488
229	2682	49446
230	2692	49414
231	2703	49378
232	2713	49340
233	2723	49297
234	2733	49260
235	2743	49223
236	2754	49193
237	2764	49156
238	2774	49124
239	2785	49101
240	2796	49068
241	2806	49029
242	2818	49029
243	2830	49015
244	2841	49000
245	2851	48963
246	2861	48926
247	2872	48894
248	2882	48857
249	2892	48820
250	2902	48784
251	2912	48757
252	2923	48726
253	2933	48691
254	2944	48666
255	2954	48637
256	2964	48602
257	2975	48569
258	2985	48535
259	2995	48500
260	3005	48467
261	3016	48441
262	3026	48417
263	3039	48421
264	3049	48397
265	3060	48369
266	3070	48341
267	3081	48312
268	3091	48276
269	3101	48243
270	3112	48222
271	3123	48200
272	3134	48182
273	3146	48190
274	3159	48190
275	3171	48192
276	3183	48191
277	3196	48194
278	3208	48192
279	3220	48191
280	3232	48181
281	3242	48153
282	3252	48123
283	3263	48103
284	3274	48081
285	3285	48061
286	3296	48048
287	3307	48032
288	3318	48013
289	3329	47992
290	3339	47964
291	3350	47937
292	3360	47911
293	3371	47885
294	3381	47854
295	3392	47836
296	3403	47820
297	3414	47804
298	3426	47801
299	3437	47787
300	3449	47772
301	3460	47756
302	3473	47763
303	3484	47755
304	3495	47738
305	3506	47718
306	3517	47701
307	3528	47677
308	3538	47648
